# HEADER
SERVER_TIME,2026.03.27 13:19:23
SYMBOL,XAUUSD
BID,4439.942
ASK,4440.158

# OPEN_POSITIONS (Ticket,Type,Vol,Open,Profit)
NONE,NONE,0,0,0

# PENDING_ORDERS (Ticket,Type,Vol,Price)
NONE,NONE,0,0

# CLOSED_HISTORY (Ticket,Type,Vol,Profit)
1500616694,BUY_EXIT,0.01,-5.90
1500616624,SELL_EXIT,0.01,-2.16
1500206831,SELL_EXIT,0.01,-38.24
1496467719,BUY_EXIT,0.01,-14.47
1496212681,SELL_EXIT,0.01,-6.11

# HISTORY_M5 (Time,Open,High,Low,Close)
16:55,4586.569,4592.081,4582.633,4584.772
16:50,4592.698,4596.795,4576.753,4586.815
16:45,4593.030,4598.781,4591.051,4592.631
16:40,4594.297,4608.629,4592.681,4593.229
16:35,4593.430,4596.004,4583.876,4594.118
16:30,4599.232,4602.571,4588.101,4593.729
16:25,4609.209,4612.535,4599.169,4599.169
16:20,4608.250,4616.989,4605.995,4608.955
16:15,4604.650,4608.794,4593.603,4608.073
16:10,4616.850,4618.368,4602.849,4605.002
16:05,4613.328,4626.795,4610.902,4616.741
16:00,4596.407,4618.877,4592.924,4613.399
15:55,4591.904,4611.544,4586.674,4596.568
15:50,4583.673,4595.107,4581.838,4591.575
15:45,4571.821,4586.006,4566.137,4583.604
15:40,4577.202,4582.116,4570.022,4571.891
15:35,4579.458,4584.110,4570.218,4577.441
15:30,4603.064,4603.064,4574.095,4579.530
15:25,4607.346,4611.498,4596.523,4602.972
15:20,4609.860,4614.851,4603.692,4607.266
15:15,4627.190,4629.194,4603.303,4609.595
15:10,4617.036,4629.104,4610.429,4627.257
15:05,4615.354,4638.768,4614.327,4617.104
15:00,4601.897,4616.019,4593.489,4615.458
14:55,4623.343,4623.570,4598.235,4601.733
14:50,4614.496,4627.960,4610.846,4623.264
14:45,4613.064,4617.720,4603.134,4614.413
14:40,4618.029,4622.502,4609.072,4612.849
14:35,4605.660,4621.306,4605.265,4618.076
14:30,4585.689,4606.385,4580.923,4605.833
14:25,4612.449,4616.563,4584.156,4585.762
14:20,4614.296,4615.601,4600.769,4612.500
14:15,4630.713,4635.640,4604.530,4614.176
14:10,4625.159,4649.209,4621.956,4631.034
14:05,4626.151,4639.830,4618.588,4625.304
14:00,4620.934,4643.649,4620.728,4626.076
13:55,4597.380,4621.099,4596.758,4620.657
13:50,4560.955,4598.605,4560.052,4597.306
13:45,4558.867,4569.136,4538.671,4560.845
13:40,4564.151,4571.524,4546.272,4558.998
13:35,4580.613,4581.282,4552.932,4564.230
13:30,4576.389,4583.243,4557.690,4580.848
13:25,4562.411,4581.244,4553.573,4576.269
13:20,4562.813,4577.626,4560.392,4562.204
13:15,4539.148,4569.059,4523.535,4562.741
13:10,4536.054,4545.861,4524.267,4539.179
13:05,4549.985,4566.172,4527.156,4535.985
13:00,4574.559,4574.559,4502.652,4550.045
12:55,4573.624,4585.866,4571.120,4574.649
12:50,4557.458,4575.780,4552.849,4573.273
12:45,4563.519,4565.034,4531.119,4557.364
12:40,4605.617,4605.617,4559.856,4563.589
12:35,4604.172,4617.781,4602.843,4605.878
12:30,4606.762,4617.392,4599.288,4603.983
12:25,4605.209,4609.095,4602.828,4606.382
12:20,4616.968,4620.315,4603.828,4605.365
12:15,4619.101,4630.708,4612.371,4616.798
12:10,4629.264,4629.926,4609.768,4619.415
12:05,4630.582,4639.857,4623.255,4629.328
12:00,4651.913,4653.982,4626.075,4630.506
11:55,4652.733,4659.915,4651.767,4652.271
11:50,4661.427,4662.252,4650.673,4652.846
11:45,4664.022,4668.152,4656.680,4661.354
11:40,4680.100,4681.095,4658.055,4663.941
11:35,4683.521,4683.634,4671.891,4679.897
11:30,4686.223,4695.509,4681.358,4683.537
11:25,4688.279,4689.673,4679.157,4686.133
11:20,4686.811,4692.321,4685.617,4688.222
11:15,4686.132,4688.533,4676.413,4686.635
11:10,4687.069,4695.521,4685.370,4686.206
11:05,4688.439,4691.548,4683.793,4687.157
11:00,4678.902,4699.662,4678.808,4688.370
10:55,4677.673,4680.448,4666.475,4678.926
10:50,4682.790,4688.589,4668.367,4677.825
10:45,4683.540,4684.770,4676.020,4682.767
10:40,4689.980,4692.628,4681.794,4683.517
10:35,4698.673,4698.673,4686.893,4690.073
10:30,4683.534,4700.391,4674.142,4698.742
10:25,4679.055,4689.991,4678.684,4683.404
10:20,4693.979,4694.319,4670.791,4679.151
10:15,4704.564,4705.576,4688.439,4693.825
10:10,4712.788,4712.788,4699.001,4704.495
10:05,4711.303,4719.921,4707.861,4712.786
10:00,4698.814,4711.483,4697.642,4711.372
09:55,4705.943,4709.994,4696.038,4698.937
09:50,4714.090,4716.952,4697.986,4706.070
09:45,4705.230,4716.636,4704.561,4714.352
09:40,4712.449,4717.700,4702.912,4705.311
09:35,4719.986,4721.778,4709.778,4712.577
09:30,4708.944,4725.997,4708.152,4720.058
09:25,4710.687,4715.767,4702.670,4709.164
09:20,4713.173,4722.522,4709.925,4710.606
09:15,4694.845,4715.812,4693.428,4713.323
09:10,4702.382,4705.560,4687.905,4694.915
09:05,4713.141,4718.084,4695.314,4702.305
